id,name
1,Tanger-Tétouan- Al Hoceima
2,Fès-Meknès
3,Rabat-Salé-Kénitra
4,Béni Mellal-Khénifra
5,Casablanca-Settat
6,Marrakech-Safi
7,Drâa‐Tafilalet
8,Sous-Massa
9, Guelmim-Oued Noun
10,Laâyoune‐Saguia al Hamra
11,Ed Dakhla‐Oued ed Dahab
12,Oriental
